project_b,Unnamed: 0,artifact_id,artifact_namespace,artifact_name,is_fork,fork_count,star_count,watcher_count,language,license_spdx_id,created_at,updated_at,first_commit_time,last_commit_time,days_with_commits_count,contributors_to_repo_count,commit_count
https://github.com/ethers-io/ethers.js,8373,aOu_ApjoudOL-zFT5wpgTJkziaUfLzcctIn9eAlhgIs=,ethers-io,ethers.js,False,1890,8045,8045,TypeScript,MIT,2016-07-16 04:35:37+00:00,2024-12-28 21:24:06+00:00,2023-02-03 02:28:37+00:00,2024-12-03 20:23:44+00:00,68.0,1.0,402.0
https://github.com/bluealloy/revm,9458,SVBuSFD1DLwnAJngtiY_cZ9Xtx-rOmb_Ee05sTCZchk=,bluealloy,revm,False,589,1699,1699,Rust,MIT,2021-09-29 09:21:18+00:00,2024-12-28 11:24:07+00:00,2021-09-29 09:32:20+00:00,2024-12-26 15:51:09+00:00,453.0,4.0,1243.0
https://github.com/paradigmxyz/reth,354,dgCmpNNSMNgI_DiE_5Ule1csx3ZrridU0QJCzxtpTLE=,paradigmxyz,reth,False,1302,4202,4202,Rust,Apache-2.0,2022-09-15 23:05:57+00:00,2024-12-28 18:59:21+00:00,2022-12-08 05:10:09+00:00,2024-12-28 18:59:18+00:00,730.0,315.0,7201.0
https://github.com/ipfs/js-ipfs,59,y-xlLUviKQ7ggJdLbGUFCBuabZkfHhzDSM3f6ToHC1U=,ipfs,js-ipfs,False,1249,7444,7444,JavaScript,NOASSERTION,2014-05-30 00:31:06+00:00,2024-12-26 06:27:25+00:00,2015-04-13 00:18:05+00:00,2023-05-25 14:16:37+00:00,858.0,17.0,2814.0
https://github.com/consensys/teku,327,0LNvFWntrkMC8kbjT6sXD_XjSveNgVILpa-_c7Iu04c=,consensys,teku,False,301,694,694,Java,Apache-2.0,2018-09-07 09:30:05+00:00,2024-12-28 12:12:04+00:00,2018-12-20 17:52:47+00:00,2024-12-28 10:41:09+00:00,1512.0,35.0,5321.0
https://github.com/chainsafe/lodestar,323,6MvaJiiK0NDbqVRMj8h4w6VQhoBnL9TglSn9MUgVKZg=,chainsafe,lodestar,False,311,1223,1223,TypeScript,Apache-2.0,2018-06-22 14:41:47+00:00,2024-12-26 00:53:40+00:00,2022-05-27 14:26:25+00:00,2024-12-23 10:26:07+00:00,595.0,10.0,1858.0
https://github.com/prysmaticlabs/prysm,377,qwfhpXi8eVTFcAGnyF86tVua8eu6g93PA0sWDyyKzLs=,prysmaticlabs,prysm,False,1045,3496,3496,Go,GPL-3.0,2018-01-11 21:31:33+00:00,2024-12-26 20:53:47+00:00,2018-01-15 17:42:31+00:00,2024-12-26 20:53:44+00:00,1097.0,72.0,3665.0
https://github.com/ethers-io/ethers.js,8373,aOu_ApjoudOL-zFT5wpgTJkziaUfLzcctIn9eAlhgIs=,ethers-io,ethers.js,False,1890,8045,8045,TypeScript,MIT,2016-07-16 04:35:37+00:00,2024-12-28 21:24:06+00:00,2023-02-03 02:28:37+00:00,2024-12-03 20:23:44+00:00,68.0,1.0,402.0
https://github.com/prettier-solidity/prettier-plugin-solidity,9310,wruzw9si85FF6P9dwhkCRCGAsnsQJHj4FrNUk-yDXIk=,prettier-solidity,prettier-plugin-solidity,False,75,731,731,Solidity,MIT,2018-05-15 15:12:02+00:00,2024-12-29 04:59:21+00:00,2021-05-16 02:05:06+00:00,2024-12-23 06:39:29+00:00,236.0,3.0,423.0
https://github.com/ethereum/solidity,292,ZtDQYnwILsCqJCn5uaiTfHst3xU9ue1HOxzqT1muEA4=,ethereum,solidity,False,5868,23616,23616,C++,GPL-3.0,2015-08-17 12:27:26+00:00,2024-12-29 04:12:02+00:00,2015-08-24 11:49:09+00:00,2024-12-20 18:21:43+00:00,1809.0,36.0,18859.0
