id,pred
1,0.2887586
8,0.3705318
13,0.48180643
15,0.22163309
18,0.9316747
23,0.91539985
26,0.5278987
27,0.5448666
30,0.85144997
31,0.71876675
32,0.85565555
33,0.69785917
34,0.80281043
44,0.86817217
45,0.5748567
46,0.790582
49,0.5549987
52,0.24489246
53,0.2142284
57,0.14075242
59,0.1532173
60,0.30887595
64,0.42638144
68,0.074320465
70,0.43912777
71,0.051667284
74,0.11507825
77,0.5851529
81,0.30785772
88,0.19293438
89,0.11507825
94,0.06741638
97,0.6728814
103,0.02
105,0.7395269
109,0.5910749
110,0.43404317
112,0.7562491
121,0.7952201
125,0.7238264
135,0.50574565
136,0.8119423
140,0.34097928
142,0.40487733
145,0.4071753
150,0.67166024
153,0.21361771
158,0.5838217
163,0.5236106
167,0.354738
169,0.8337829
171,0.8626262
174,0.57853234
175,0.8830108
176,0.38971284
177,0.52329934
178,0.98
179,0.52242607
180,0.43859184
184,0.98
185,0.82059073
188,0.45195687
189,0.61561126
193,0.453451
195,0.5798998
196,0.6131384
197,0.98310465
200,0.58793813
204,0.6005205
209,0.7984146
211,0.73681873
212,0.71706086
215,0.6176236
219,0.48413855
220,0.43509823
221,0.75631434
222,0.5567002
227,0.56415874
228,0.75631434
230,0.7597783
232,0.5485526
234,0.51607555
239,0.86684775
240,0.40450376
241,0.6131498
247,0.6077333
248,0.7128432
252,0.66476643
255,0.97510207
257,0.7682798
258,0.44671893
260,0.3212692
264,0.45372725
267,0.1938628
271,0.6263235
273,0.51202923
275,0.41848075
277,0.43514678
279,0.39038187
280,0.6141418
283,0.62892574
284,0.7668397
289,0.6864913
290,0.64626414
292,0.49878612
296,0.5910749
297,0.4377816
299,0.76315916
300,0.7562491
310,0.9535087
314,0.5795825
315,0.59369874
316,0.23669335
319,0.318046
322,0.98
323,0.94536704
325,0.78240377
326,0.6489638
332,0.7463258
333,0.61947453
344,0.38167077
347,0.5795825
351,0.7671564
352,0.19908738
355,0.7671564
359,0.26558518
362,0.9286845
366,0.80329376
367,0.2100339
368,0.6002376
369,0.5857739
371,0.75312096
372,0.5385632
388,0.98
394,0.9404622
403,0.6387736
408,0.9790767
409,0.98
411,0.98
412,0.98
415,0.8164983
416,0.98
417,0.91837263
421,0.89982957
423,0.98
424,0.98
431,0.9069869
433,0.9162044
434,0.8809183
436,0.9621808
437,0.9717524
439,0.78009963
440,0.76085347
443,0.98
444,0.9038508
