id,pred
1,0.56281286
8,0.44268695
13,0.29060712
15,0.40786645
18,0.8498159
23,0.7812134
26,0.38497967
27,0.53661996
30,0.83142036
31,0.55137396
32,0.61923283
33,0.45165536
34,0.65271634
44,0.76715374
45,0.53459924
46,0.62291706
49,0.60379833
52,0.38812765
53,0.18004653
57,0.23756415
59,0.11751402
60,0.55652887
64,0.20345199
68,0.030244555
70,0.095617756
71,0.08233909
74,0.08
77,0.17605071
81,0.12633191
88,0.08
89,0.13612811
94,0.12321002
97,0.60401154
103,0.109659225
105,0.8358594
109,0.6401635
110,0.6246594
112,0.7354942
121,0.80819285
125,0.56041884
135,0.4717263
136,0.7469967
140,0.551934
142,0.5738382
145,0.57914895
150,0.59463
153,0.2402448
158,0.60693675
163,0.34031355
167,0.2905574
169,0.7346129
171,0.6204097
174,0.56377745
175,0.2960362
176,0.33811983
177,0.5438269
178,0.6259718
179,0.28504962
180,0.080139354
184,0.7802427
185,0.44836304
188,0.09660267
189,0.48336917
193,0.4251474
195,0.5758648
196,0.67523324
197,0.86769
200,0.5897564
204,0.56949806
209,0.81296265
211,0.8426777
212,0.7340493
215,0.6892325
219,0.42397824
220,0.75301886
221,0.7923769
222,0.50170714
227,0.62386614
228,0.75417423
230,0.8237981
232,0.45718047
234,0.5624537
239,0.8315722
240,0.44905397
241,0.56852865
247,0.6522323
248,0.5494241
252,0.6080764
255,0.773513
257,0.7341275
258,0.24218765
260,0.21691461
264,0.5031144
267,0.1510438
271,0.3823463
273,0.25701833
275,0.5701118
277,0.5522304
279,0.5628076
280,0.649145
283,0.6108529
284,0.73873407
289,0.5442612
290,0.6472275
292,0.68898654
296,0.5871891
297,0.3477883
299,0.58808243
300,0.649973
310,0.9670927
314,0.7301295
315,0.42073837
316,0.22625348
319,0.38123724
322,0.92
323,0.92843974
325,0.84343076
326,0.72160643
332,0.86969906
333,0.74184054
344,0.48706213
347,0.6454475
351,0.77880037
352,0.23419896
355,0.7940369
359,0.22932117
362,0.8805951
366,0.73624843
367,0.33036056
368,0.64651924
369,0.66507757
371,0.881416
372,0.22869112
388,0.92
394,0.9511687
403,0.73595506
408,0.92808896
409,0.92
411,0.92
412,0.92
415,0.74700814
416,0.92
417,0.99982256
421,0.96996504
423,0.99537694
424,0.92
431,0.8996117
433,0.7143908
434,0.8772117
436,0.9423449
437,0.92
439,0.8555912
440,0.5436706
443,0.92
444,0.96600175
450,0.79896593
451,0.92
458,0.92
461,0.9931611
462,0.68246156
463,0.105882145
464,0.33270353
466,0.9367143
469,0.45885628
472,0.3818031
473,0.1064581
479,0.3613832
480,0.82500374
486,0.45946696
487,0.9622303
491,0.79101324
496,0.67302424
499,0.50152075
502,0.80159956
507,0.58831483
508,0.7002703
512,0.8623452
522,0.07414726
523,0.12629974
528,0.4910835
529,0.3811386
533,0.40758973
534,0.87036
536,0.25553325
539,0.37942952
544,0.72262996
545,0.47429463
548,0.92
550,0.92
552,0.7638349
555,0.7043572
556,0.5865615
558,0.53663653
562,0.5794624
565,0.64960116
566,0.7636815
568,0.92
569,0.7112733
573,0.88999367
574,0.6555891
579,0.92
582,0.9640271
583,0.98051214
595,0.9499046
597,0.5615667
599,0.92
